Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-16554,13067550,ACID: Make HouseKeeperService threads daemon,vgumashta,vgumashta,Major,Closed,Fixed,27/Apr/17 22:56,23/May/18 00:00,
Bug,HIVE-16239,13056933,remove useless hiveserver,ferhui,ferhui,Major,Resolved,Fixed,17/Mar/17 08:40,22/Apr/17 01:43,
Bug,HIVE-16107,13048163,JDBC: HttpClient should retry one more time on NoHttpResponseException,vgumashta,vgumashta,Major,Resolved,Fixed,03/Mar/17 20:23,21/Jul/17 18:46,
Bug,HIVE-15105,13016946,Hive shell runs out of memory on Tez,,premal,Major,Resolved,Fixed,01/Nov/16 17:20,09/Mar/17 08:46,
Bug,HIVE-15096,13016317,hplsql registerUDF conflicts with pom.xml,ferhui,ferhui,Major,Resolved,Fixed,29/Oct/16 03:00,21/Jul/17 18:26,
Bug,HIVE-15090,13016129,Temporary DB failure can stop ExpiredTokenRemover thread,pvary,pvary,Major,Closed,Fixed,28/Oct/16 12:11,08/Dec/16 14:10,
Bug,HIVE-14903,13010125,from_utc_time function issue for CET daylight savings,,ericlin,Minor,Resolved,Fixed,06/Oct/16 10:24,12/Oct/17 05:36,
Bug,HIVE-14829,13007177,metastore.sh fails due to classpath conflict with hive-service-rpc,spena,spena,Major,Resolved,Invalid,23/Sep/16 15:18,23/Sep/16 18:54,
Bug,HIVE-14820,13006940,RPC server for spark inside HS2 is not getting server address properly,aihuaxu,aihuaxu,Major,Resolved,Fixed,22/Sep/16 19:45,21/Jul/17 18:12,
Bug,HIVE-14805,13006564,Subquery inside a view will have the object in the subquery as the direct input ,aihuaxu,aihuaxu,Major,Closed,Fixed,21/Sep/16 16:39,26/Oct/18 16:55,
Bug,HIVE-14566,12998083,LLAP IO reads timestamp wrongly,prasanth_j,prasanth_j,Critical,Closed,Fixed,18/Aug/16 01:35,08/Dec/16 14:10,
Bug,HIVE-14433,12995032,refactor LLAP plan cache avoidance and fix issue in merge processor,sershe,sershe,Major,Closed,Fixed,04/Aug/16 21:02,08/Dec/16 14:16,
Bug,HIVE-14322,12992074,Postgres db issues after Datanucleus 4.x upgrade,sershe,thejas,Major,Closed,Fixed,24/Jul/16 06:42,01/Jun/17 04:40,
Bug,HIVE-14223,12988972,beeline should look for jdbc standalone jar in dist/jdbc dir instead of dist/lib,prasanth_j,prasanth_j,Major,Closed,Fixed,13/Jul/16 03:45,27/Jan/17 02:44,
Bug,HIVE-14164,12986958,JDBC: Add retry in JDBC driver when reading config values from ZK,vgumashta,vgumashta,Major,Resolved,Duplicate,05/Jul/16 21:33,13/Jul/16 21:00,
Bug,HIVE-14153,12986354,Beeline: beeline history doesn't work on Hive2,vgumashta,vgumashta,Major,Closed,Fixed,01/Jul/16 23:51,08/Dec/16 14:27,
Bug,HIVE-14074,12981771,RELOAD FUNCTION should update dropped functions,ayousufi,ayousufi,Major,Closed,Fixed,22/Jun/16 05:47,26/Jul/17 03:29,
Bug,HIVE-14049,12980279,Password prompt in Beeline is continuously printed,,ayousufi,Major,Resolved,Cannot Reproduce,17/Jun/16 18:43,22/Mar/17 19:56,
Bug,HIVE-14032,12979854,INSERT OVERWRITE command failed with case sensitive partition key names,chinnalalam,chinnalalam,Major,Closed,Fixed,16/Jun/16 15:03,22/May/18 23:57,
Bug,HIVE-14019,12979462,HiveServer2: Enable Kerberos with SSL for TCP transport,vgumashta,vgumashta,Major,Resolved,Duplicate,15/Jun/16 18:08,07/Jul/16 00:20,
Bug,HIVE-13987,12977420,Clarify current error shown when HS2 is down,ayousufi,ayousufi,Minor,Resolved,Fixed,09/Jun/16 22:38,21/Jul/17 17:45,
Bug,HIVE-13904,12974841,Ignore case when retrieving ColumnInfo from RowResolver,jcamacho,jcamacho,Major,Closed,Fixed,01/Jun/16 15:50,27/Feb/24 22:24,
Bug,HIVE-13883,12973628,WebHCat leaves token crc file never gets deleted,niklaus.xiao,niklaus.xiao,Minor,Resolved,Fixed,28/May/16 02:18,21/Jul/17 17:45,
Bug,HIVE-13621,12962844,compute stats in certain cases fails with NPE,pxiong,vikram.dixit,Major,Closed,Fixed,27/Apr/16 00:45,21/Jun/16 15:10,
Bug,HIVE-13494,12958234,LLAP: Some metrics from daemon are not exposed to hadoop-metrics2,prasanth_j,prasanth_j,Major,Closed,Fixed,12/Apr/16 20:27,21/Jun/16 15:12,
Bug,HIVE-13264,12948985,JDBC driver makes 2 Open Session Calls for every open session,nithinmahesh,nithinmahesh,Major,Closed,Fixed,11/Mar/16 02:46,08/Dec/16 14:39,
Bug,HIVE-13197,12946127,Add adapted constprog2.q and constprog_partitioner.q tests back,ashutoshc,jcamacho,Major,Closed,Fixed,02/Mar/16 12:09,27/Feb/24 22:24,
Bug,HIVE-13134,12941621,JDBC: JDBC Standalone should not be in the lib dir by default,gopalv,gopalv,Major,Closed,Fixed,24/Feb/16 03:04,27/Jan/17 02:44,
Bug,HIVE-13108,12940738,Operators: SORT BY randomness is not safe with network partitions,gopalv,gopalv,Major,Closed,Fixed,20/Feb/16 02:52,29/May/18 17:08,
