Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-22344,13262312,I can't run hive in command line,,d87904488,Blocker,Resolved,Not A Bug,15/Oct/19 07:38,13/May/23 04:09,
Bug,HIVE-22325,13261621,variable expansion doesn't work in beeline-site.xml,aespinosa,aespinosa,Major,Closed,Duplicate,10/Oct/19 18:23,16/Nov/22 13:50,
Bug,HIVE-22301,13260986,Hive lineage is not generated for insert overwrite queries on partitioned tables,kgyrtkirk,sidharthkmishra,Major,Closed,Fixed,08/Oct/19 00:00,27/Feb/24 22:23,
Bug,HIVE-22268,13259557,schematool references wrong scripts directory,,cjmoberg,Major,Resolved,Not A Problem,30/Sep/19 00:13,30/Sep/19 00:54,
Bug,HIVE-22255,13259346,Hive don't trigger Major Compaction automatically if table contains only base files ,Rajkumar Singh,Rajkumar Singh,Major,Resolved,Fixed,27/Sep/19 20:48,27/Jul/20 12:33,
Bug,HIVE-22196,13256158,Socket timeouts happen when other drivers set DriverManager.loginTimeout,,Indigestion,Major,Resolved,Fixed,11/Sep/19 17:30,16/Feb/21 19:27,
Bug,HIVE-22190,13256048,Class HiveMetaStoreClient fails to instantiate when running on Java 11,frankgh,frankgh,Major,Closed,Duplicate,11/Sep/19 07:57,25/Jun/23 07:36,
Bug,HIVE-22170,13254887,from_unixtime and unix_timestamp should use user session time zone,jcamacho,rtrivedi12,Major,Closed,Fixed,05/Sep/19 01:32,27/Feb/24 22:23,
Bug,HIVE-22162,13253846,MVs are not using ACID tables by default,kkasa,kkasa,Major,Closed,Fixed,30/Aug/19 07:03,27/Feb/24 22:23,
Bug,HIVE-22161,13253841,UDF: FunctionRegistry synchronizes on org.apache.hadoop.hive.ql.udf.UDFType class,gopalv,gopalv,Major,Closed,Fixed,30/Aug/19 06:53,17/Nov/22 08:50,
Bug,HIVE-21829,13237394,HiveMetaStore authorization issue with AlterTable and DropTable events,rmani,rmani,Critical,Closed,Fixed,04/Jun/19 05:10,17/Nov/22 08:51,
Bug,HIVE-21753,13234188,Update HiveMetastore authorization to enable use of HiveAuthorizer implementation,rmani,rmani,Critical,Closed,Fixed,20/May/19 00:11,26/Mar/23 07:30,
Bug,HIVE-21489,13223286,EXPLAIN command throws ClassCastException in Hive,rameshkumar,Ping Lu,Major,Closed,Fixed,22/Mar/19 09:27,21/Oct/22 06:56,22/Mar/19 00:00
Bug,HIVE-18284,13125273,NPE when inserting data with 'distribute by' clause with dynpart sort optimization,srahman,tanakahda,Major,Closed,Fixed,15/Dec/17 16:36,17/Nov/22 13:14,
