Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-25382,13391766,"""No space left on device"" error when running show database",,ferozedaud,Major,Resolved,Not A Problem,26/Jul/21 01:12,27/Jul/21 22:16,
Bug,HIVE-22165,13254068,Synchronisation introduced by HIVE-14296 on SessionManager.closeSession causes high latency in a busy hive server,amrk7,amrk7,Major,Closed,Fixed,31/Aug/19 15:00,17/Nov/22 08:50,
Bug,HIVE-21873,13239466,Hive Cann't drop table in different hdfs clusters,,ico01,Major,Resolved,Won't Fix,14/Jun/19 07:54,21/Jun/19 02:29,14/Jun/19 00:00
Bug,HIVE-21419,13220733,Partition Pruning not happening when using Apache Ranger masking,,mert_hoc,Major,Resolved,Fixed,11/Mar/19 03:32,01/May/19 14:34,
Bug,HIVE-21081,13207343,DATE_FORMAT incorrectly returns results on the last week of the calendar year,,WilsonLu,Minor,Resolved,Not A Problem,02/Jan/19 19:59,12/Feb/19 04:42,
Bug,HIVE-21009,13202556,LDAP - Specify binddn for ldap-search,mcginnda,tuhren,Major,Closed,Fixed,05/Dec/18 14:50,17/Nov/22 08:54,
Bug,HIVE-20816,13194438,FastHiveDecimal throws Exception (RuntimeException: Unexpected #3),,rajesh.balamohan,Minor,Resolved,Duplicate,26/Oct/18 14:58,28/Oct/18 00:06,
Bug,HIVE-20771,13192442,LazyBinarySerDe fails on empty structs.,cvaliente,cvaliente,Minor,Closed,Fixed,18/Oct/18 07:26,17/Nov/22 08:55,
Bug,HIVE-20693,13189680,Case-sensitivity for column names when reading from ORC,,alexandreyc,Major,Resolved,Fixed,05/Oct/18 10:16,21/Sep/22 23:24,
Bug,HIVE-20659,13188354,Update commons-compress to 1.18 due to security issues,bharos92,jornfranke,Critical,Closed,Fixed,29/Sep/18 20:04,17/Nov/22 08:54,
Bug,HIVE-20574,13185436,Column statistics give erraneous numDistinct,ajayjadhav,kivismik,Major,Resolved,Not A Problem,17/Sep/18 08:25,24/Sep/18 17:12,
Bug,HIVE-20555,13185018,HiveServer2: Preauthenticated subject for http transport is not retained for entire duration of http communication in some cases,vgumashta,vgumashta,Major,Closed,Fixed,13/Sep/18 21:46,21/Oct/22 06:59,
Bug,HIVE-20318,13177135,NullPointerException when union with lateral view,ryu_kobayashi,tiana528,Blocker,Resolved,Duplicate,06/Aug/18 15:16,05/Aug/24 01:22,06/Aug/18 00:00
Bug,HIVE-20210,13173121,Simple Fetch optimizer should lead to MapReduce when filter on non-partition column and conversion is minimal,xilangyan,xilangyan,Major,Closed,Fixed,19/Jul/18 07:27,17/Nov/22 08:55,19/Jul/18 00:00
Bug,HIVE-20153,13171774,Count and Sum UDF consume more memory in Hive 2+,aihuaxu,szehon,Major,Closed,Fixed,12/Jul/18 16:35,17/Nov/22 08:54,
