File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HiveSplitGenerator.java,3.1.0,44,3,4,0,25,1,10,1,14,421,421,4,11
ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/MapJoinTableContainerSerDe.java,3.1.0,0,0,0,0,9,0,7,0,107,0,0,0,2
serde/src/java/org/apache/hadoop/hive/serde2/lazybinary/LazyBinaryNonPrimitive.java,3.1.0,0,0,0,0,1,0,1,0,0,0,0,0,0
serde/src/test/org/apache/hadoop/hive/serde2/lazybinary/TestLazyBinaryStruct.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,3.1.0,2,2,1,0,49,1,25,0,19,131,131,0,16
jdbc/src/java/org/apache/hive/jdbc/HttpKerberosRequestInterceptor.java,3.1.0,0,0,0,0,2,0,2,0,13,0,0,0,0
service/src/java/org/apache/hive/service/auth/HttpAuthUtils.java,3.1.0,0,0,0,0,8,0,6,0,71,0,0,0,0
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3.1.0,101,39,43,0,626,19,76,1,1,130,1,0,0
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/tool/ZooKeeperStorage.java,3.1.0,0,0,0,0,2,0,3,0,579,0,0,0,0
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStoreTestBase.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestRestrictedList.java,3.1.0,0,0,2,0,5,2,4,48,53,68,5,0,1
itests/hive-unit/src/test/java/org/apache/hive/service/server/InformationSchemaWithPrivilegeTestBase.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,3.1.0,2,2,1,0,49,1,25,0,19,131,131,0,16
jdbc/src/java/org/apache/hive/jdbc/Utils.java,3.1.0,0,0,0,0,27,0,13,0,29,0,0,0,11
jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java,3.1.0,0,0,0,0,13,0,9,0,30,0,0,0,7
llap-client/src/java/org/apache/hadoop/hive/registry/impl/ZkRegistryBase.java,3.1.0,0,0,0,0,6,0,2,0,10,0,0,0,5
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/common/SSLZookeeperFactory.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/common/ZooKeeperHiveHelper.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,3.1.0,0,0,9,0,40,3,3,3,3,147,5,1,1
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java,3.1.0,0,0,2,0,7,1,1,0,0,5,5,1,1
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java,3.1.0,0,0,2,0,8,1,1,0,0,5,5,1,1
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3.1.0,101,39,43,0,626,19,76,1,1,130,1,0,0
ql/src/java/org/apache/hadoop/hive/ql/io/avro/AvroContainerOutputFormat.java,3.1.0,0,0,0,0,2,0,2,0,161,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/io/avro/AvroGenericRecordReader.java,3.1.0,0,0,0,0,5,0,4,0,86,0,0,0,0
serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroDeserializer.java,3.1.0,5,5,3,0,13,2,9,1,113,262,164,0,4
serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroGenericRecordWritable.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerDe.java,3.1.0,0,0,0,0,9,0,7,0,97,0,0,0,0
serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerializer.java,3.1.0,5,8,3,0,6,2,4,1,29,262,164,0,0
serde/src/test/org/apache/hadoop/hive/serde2/avro/TestAvroDeserializer.java,3.1.0,0,0,0,0,3,0,3,0,512,0,0,0,2
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3.1.0,101,39,43,0,626,19,76,1,1,130,1,0,0
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java,3.1.0,0,0,0,0,14,0,6,0,28,0,0,0,4
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/convert/ETypeConverter.java,3.1.0,9,9,3,0,15,2,9,1,54,262,164,0,2
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/read/DataWritableReadSupport.java,3.1.0,0,0,0,0,14,0,6,0,74,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,3.1.0,4,4,3,0,14,2,7,1,41,262,164,0,4
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/ParquetDataColumnReaderFactory.java,3.1.0,4,7,4,0,8,2,4,3,8,262,164,0,1
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriteSupport.java,3.1.0,0,0,0,0,4,0,4,0,204,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriter.java,3.1.0,6,6,3,0,11,2,8,1,115,262,164,0,2
ql/src/test/org/apache/hadoop/hive/ql/io/parquet/VectorizedColumnReaderTestBase.java,3.1.0,17,6,3,0,15,2,7,1,23,262,164,0,2
ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/MyConverterParent.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java,3.1.0,0,0,0,0,2,0,2,0,120,0,0,0,1
ql/src/test/org/apache/hadoop/hive/ql/io/parquet/serde/TestParquetTimestampUtils.java,3.1.0,18,24,3,0,7,2,6,1,138,262,164,0,2
ql/src/test/org/apache/hadoop/hive/ql/io/parquet/serde/TestParquetTimestampsHive2Compatibility.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/processors/CompileProcessor.java,3.1.0,0,0,0,0,6,0,4,0,76,0,0,0,0
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3.1.0,101,39,43,0,626,19,76,1,1,130,1,0,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcDriver2.java,3.1.0,72,17,3,0,43,3,27,25,17,99,19,2,16
itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestRestrictedList.java,3.1.0,0,0,2,0,5,2,4,48,53,68,5,0,1
jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,3.1.0,2,2,1,0,49,1,25,0,19,131,131,0,16
jdbc/src/java/org/apache/hive/jdbc/Utils.java,3.1.0,0,0,0,0,27,0,13,0,29,0,0,0,11
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,3.1.0,355,198,25,5,326,11,58,2,2,140,5,8,0
ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java,3.1.0,0,0,0,0,20,0,15,0,38,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,3.1.0,0,0,0,0,16,0,11,0,48,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java,3.1.0,24,7,1,0,14,1,7,0,40,32,32,1,5
ql/src/java/org/apache/hadoop/hive/ql/exec/JoinOperator.java,3.1.0,0,0,1,0,11,1,8,0,82,33,33,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java,3.1.0,0,0,0,0,42,0,16,0,8,0,0,0,8
ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java,3.1.0,0,0,0,0,15,0,11,0,31,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorMapJoinBaseOperator.java,3.1.0,0,0,0,0,10,0,6,0,85,0,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSMBMapJoinOperator.java,3.1.0,0,0,0,0,15,0,7,0,79,0,0,0,1
ql/src/test/org/apache/hadoop/hive/ql/exec/TestMsckCreatePartitionsInBatches.java,3.1.0,0,0,0,0,3,0,3,0,124,0,0,0,1
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/CheckResult.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreChecker.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/Msck.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/utils/MetaStoreServerUtils.java,3.1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
