File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriver.java,2.3.2,0,0,1,0,2,1,2,0,739,354,354,0,1
ql/src/test/org/apache/hadoop/hive/ql/parse/TestParseDriverIntervals.java,2.3.2,0,0,1,0,3,1,2,0,213,354,354,0,1
service/src/java/org/apache/hive/service/cli/session/SessionManager.java,2.3.2,116,11,5,0,28,3,16,26,29,152,2,1,5
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.3.2,315,101,65,5,537,25,69,1,1,98,2,5,42
service/src/java/org/apache/hive/service/auth/LdapAuthenticationProviderImpl.java,2.3.2,0,0,1,0,15,1,7,0,24,354,354,0,5
service/src/test/org/apache/hive/service/auth/TestLdapAuthenticationProviderImpl.java,2.3.2,0,0,1,0,5,1,5,0,247,354,354,0,1
jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java,2.3.2,0,0,1,0,28,1,10,0,20,354,354,0,4
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.3.2,315,101,65,5,537,25,69,1,1,98,2,5,42
itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/VectorizedArithmeticBench.java,2.3.2,0,0,2,0,3,2,3,26,410,207,60,0,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorExpressionDescriptor.java,2.3.2,26,5,4,0,11,3,7,26,39,170,60,1,3
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,2.3.2,299,92,11,0,79,6,19,9,7,143,60,5,37
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/LongColModuloLongColumnChecked.java,2.3.2,0,0,2,0,6,1,1,0,0,60,60,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/OverflowUtils.java,2.3.2,0,0,1,0,1,1,1,0,0,60,60,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModDoubleToDouble.java,2.3.2,22,2,2,0,8,2,3,26,26,207,60,1,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/PosModLongToLong.java,2.3.2,34,3,2,0,8,2,3,26,26,207,60,1,2
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorExpression.java,2.3.2,12,8,3,0,11,3,5,35,32,172,60,1,2
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMinus.java,2.3.2,0,0,2,0,4,2,3,26,82,207,60,0,0
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMod.java,2.3.2,0,0,3,0,4,2,3,45,63,207,60,0,1
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPMultiply.java,2.3.2,0,0,2,0,3,2,3,26,210,207,60,0,1
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNegative.java,2.3.2,5,2,2,0,3,2,3,26,210,207,60,0,0
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPPlus.java,2.3.2,0,0,2,0,4,2,3,26,82,207,60,0,0
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestUnaryMinus.java,2.3.2,0,0,2,0,2,2,2,26,26,207,60,1,1
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorArithmeticExpressions.java,2.3.2,134,10,4,0,4,3,4,26,45,178,60,1,1
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorMathFunctions.java,2.3.2,0,0,3,0,7,3,5,35,46,172,60,1,1
vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorCode.java,2.3.2,142,16,4,0,19,3,7,26,22,178,60,1,5
vector-code-gen/src/org/apache/hadoop/hive/tools/GenVectorTestCode.java,2.3.2,139,5,2,0,3,2,3,26,185,207,60,1,2
ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java,2.3.2,5,7,4,0,21,4,9,31,39,165,1,1,11
ql/src/java/org/apache/hadoop/hive/ql/optimizer/SimpleFetchOptimizer.java,2.3.2,2,2,2,0,18,2,9,58,21,178,1,0,5
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFCount.java,2.3.2,0,0,1,0,6,1,4,0,117,354,354,0,2
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFSum.java,2.3.2,0,0,1,0,11,1,4,0,106,354,354,0,3
ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java,2.3.2,0,0,1,0,5,1,5,0,203,354,354,0,2
service/src/java/org/apache/hive/service/BreakableService.java,2.3.2,0,0,1,0,4,1,2,0,3,354,354,0,0
storage-api/src/java/org/apache/hadoop/hive/common/type/FastHiveDecimal.java,2.3.2,0,0,1,0,4,1,3,0,162,354,354,0,1
common/src/java/org/apache/hive/common/util/HiveStringUtils.java,2.3.2,0,0,1,0,13,1,11,0,51,354,354,0,4
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,2.3.2,691,505,36,0,191,10,45,2,3,135,3,7,63
ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java,2.3.2,350,336,6,0,39,4,12,20,20,160,5,2,19
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFBloomFilter.java,2.3.2,12,2,2,0,12,2,5,18,21,268,181,1,7
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFEvaluator.java,2.3.2,27,14,3,0,7,3,7,38,75,212,101,0,0
storage-api/src/java/org/apache/hive/common/util/BloomKFilter.java,2.3.2,4,4,2,0,3,2,2,18,93,268,181,0,1
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.3.2,315,101,65,5,537,25,69,1,1,98,2,5,42
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,2.3.2,299,92,11,0,79,6,19,9,7,143,60,5,37
itests/hive-minikdc/src/test/java/org/apache/hive/minikdc/TestJdbcWithMiniKdc.java,2.3.2,18,2,3,0,9,3,8,44,65,140,7,1,2
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java,2.3.2,0,0,1,0,4,1,2,0,0,0,0,0,0
