File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java,2.0.0,350,211,18,0,18,12,12,14,14,79,5,8,8
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/StandardConstantMapObjectInspector.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,2.0.0,52,10,9,0,9,4,4,13,13,118,23,1,1
cli/src/test/org/apache/hadoop/hive/cli/TestCliDriverMethods.java,2.0.0,0,0,0,0,0,1,1,74,74,323,323,0,0
common/src/java/org/apache/hadoop/hive/common/io/CachingPrintStream.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/java/org/apache/hadoop/hive/common/io/FetchConverter.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/java/org/apache/hadoop/hive/common/io/SessionStream.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/cli/HCatCli.java,2.0.0,4,4,1,0,1,1,1,0,0,78,78,0,0
hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/TestHCatLoaderEncryption.java,2.0.0,32,46,4,0,4,4,4,26,26,54,43,1,1
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/history/TestHiveHistory.java,2.0.0,0,0,1,0,1,3,3,200,200,199,78,0,0
itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestCLIAuthzSessionContext.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java,2.0.0,329,214,36,19,36,16,16,5,5,80,6,10,10
ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java,2.0.0,210,191,27,0,27,14,14,8,8,61,1,8,8
ql/src/test/org/apache/hadoop/hive/ql/processors/TestSetProcessor.java,2.0.0,0,0,1,0,1,1,1,0,0,50,50,1,1
service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java,2.0.0,35,16,8,0,8,6,6,6,6,91,5,3,3
service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java,2.0.0,122,26,13,0,13,8,8,12,12,45,5,3,3
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java,2.0.0,838,281,26,0,26,12,12,5,5,75,14,10,10
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,2.0.0,906,601,75,0,75,23,23,2,2,57,1,27,27
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java,2.0.0,228,42,9,0,9,2,2,21,21,70,62,4,4
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.0.0,927,193,158,31,158,35,35,1,1,55,1,15,15
ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java,2.0.0,121,98,15,0,15,9,9,14,14,92,20,2,2
ql/src/java/org/apache/hadoop/hive/ql/optimizer/CountDistinctRewriteProc.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/Optimizer.java,2.0.0,63,13,16,0,16,11,11,10,10,82,1,5,5
ql/src/java/org/apache/hadoop/hive/ql/plan/GroupByDesc.java,2.0.0,12,2,1,0,1,3,3,67,67,196,68,0,0
metastore/src/java/org/apache/hadoop/hive/metastore/Deadline.java,2.0.0,4,4,2,0,2,2,2,126,126,63,48,0,0
metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java,2.0.0,86,67,13,0,13,8,8,21,21,81,1,4,4
metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java,2.0.0,1704,950,33,0,33,16,16,9,9,62,1,10,10
metastore/src/java/org/apache/hadoop/hive/metastore/RetryingHMSHandler.java,2.0.0,35,4,2,0,2,2,2,37,37,42,6,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HivePairFlatMapFunction.java,2.0.0,0,0,2,0,2,1,1,0,0,65,65,0,0
service/src/java/org/apache/hive/service/cli/session/SessionManager.java,2.0.0,96,17,11,5,11,8,8,25,25,40,4,2,2
service/src/java/org/apache/hive/service/cli/session/SessionManager.java,2.0.0,96,17,11,5,11,8,8,25,25,40,4,2,2
service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIService.java,2.0.0,82,16,11,0,11,8,8,16,16,81,8,3,3
ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java,2.0.0,155,152,19,0,19,12,12,6,6,96,24,2,2
ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java,2.0.0,0,0,1,0,1,3,3,49,49,199,78,0,0
serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/TypeInfoUtils.java,2.0.0,0,0,6,0,6,4,4,50,50,56,20,1,1
hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java,2.0.0,1351,139,11,0,11,4,4,11,11,64,20,7,7
ql/src/java/org/apache/hadoop/hive/ql/Driver.java,2.0.0,493,307,45,0,45,22,22,2,2,56,1,21,21
ql/src/java/org/apache/hadoop/hive/ql/exec/FetchOperator.java,2.0.0,20,10,10,0,10,8,8,24,24,112,6,2,2
ql/src/java/org/apache/hadoop/hive/ql/exec/FetchTask.java,2.0.0,11,6,4,0,4,3,3,43,43,140,20,0,0
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java,2.0.0,500,10,15,0,15,6,6,9,9,50,20,9,9
ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java,2.0.0,388,662,42,5,42,24,24,5,5,63,6,11,11
ql/src/java/org/apache/hadoop/hive/ql/processors/ReloadProcessor.java,2.0.0,3,3,1,0,1,1,1,0,0,78,78,0,0
ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java,2.0.0,210,191,27,0,27,14,14,8,8,61,1,8,8
ql/src/test/org/apache/hadoop/hive/ql/session/TestSessionState.java,2.0.0,4,4,4,0,4,3,3,49,49,63,48,0,0
service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java,2.0.0,156,39,18,5,18,12,12,5,5,62,4,4,4
common/src/java/org/apache/hadoop/hive/conf/HiveConfUtil.java,2.0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java,2.0.0,47,10,5,0,5,5,5,55,55,55,42,1,1
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,2.0.0,697,301,22,11,22,4,4,7,7,132,62,17,17
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java,2.0.0,0,0,4,0,4,1,1,0,0,62,62,1,1
