File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCompactor.java,4.0.0,225,260,10,0,94,5,42,54,19,25,5,3,37
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcFile.java,4.0.0,0,0,1,0,29,1,10,0,23,20,20,0,4
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java,4.0.0,0,0,0,0,53,0,20,0,30,0,0,0,17
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRecordUpdater.java,4.0.0,6,15,2,0,49,2,22,466,33,13,6,0,19
ql/src/java/org/apache/hadoop/hive/ql/io/orc/VectorizedOrcAcidRowBatchReader.java,4.0.0,0,0,1,0,55,1,20,0,16,38,38,0,25
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java,4.0.0,591,69,20,0,133,6,37,14,13,25,6,8,57
ql/src/java/org/apache/hadoop/hive/ql/udf/ptf/WindowingTableFunction.java,4.0.0,2,2,1,0,21,1,10,0,45,6,6,0,6
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HiveSparkClientFactory.java,4.0.0,0,0,0,0,35,0,17,0,41,0,0,0,6
ql/src/test/org/apache/hadoop/hive/ql/exec/spark/session/TestSparkSessionManagerImpl.java,4.0.0,0,0,0,0,13,0,10,0,65,0,0,0,3
spark-client/src/main/java/org/apache/hive/spark/client/SparkClientFactory.java,4.0.0,0,0,0,0,11,0,7,0,32,0,0,0,0
spark-client/src/main/java/org/apache/hive/spark/client/rpc/RpcConfiguration.java,4.0.0,0,0,0,0,12,0,11,0,98,0,0,0,1
ql/src/java/org/apache/hadoop/hive/ql/optimizer/correlation/ReduceSinkDeDuplicationUtils.java,4.0.0,4,7,1,0,11,1,8,0,159,6,6,0,5
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/utils/MetaStoreServerUtils.java,4.0.0,141,9,13,23,66,10,27,33,29,56,2,4,12
standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/utils/TestMetaStoreServerUtils.java,4.0.0,0,0,2,0,17,2,0,361,171,22,20,1,0
ql/src/java/org/apache/hadoop/hive/ql/ddl/table/create/CreateTableDesc.java,4.0.0,52,44,9,7,57,6,14,36,60,58,1,4,9
ql/src/java/org/apache/hadoop/hive/ql/udf/UDFLike.java,4.0.0,0,0,0,0,4,0,2,0,559,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveProjectFilterPullUpConstantsRule.java,4.0.0,0,0,0,0,4,0,4,0,605,0,0,0,1
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/ASTBuilder.java,4.0.0,9,2,4,0,32,3,19,45,78,75,4,1,11
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/TypeConverter.java,4.0.0,0,0,0,0,12,0,7,0,105,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,4.0.0,1010,491,69,9,611,23,122,7,2,35,1,18,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveAggregateSortLimitRule.java,4.0.0,0,0,0,0,3,0,3,0,98,0,0,0,1
ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java,4.0.0,287,318,24,0,328,13,66,15,6,55,3,5,119
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,4.0.0,3,3,1,0,23,1,18,0,73,6,6,0,5
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,4.0.0,198,28,42,0,189,20,66,9,8,38,1,2,14
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java,4.0.0,184,50,12,0,52,7,15,52,57,47,12,2,8
standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/txn/TestTxnUtils.java,4.0.0,0,0,0,0,15,0,4,0,321,0,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDateFormat.java,4.0.0,31,26,1,0,8,1,7,0,156,121,121,0,4
ql/src/java/org/apache/hadoop/hive/ql/util/DateTimeMath.java,4.0.0,0,0,0,0,10,0,7,0,107,0,0,0,3
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDateFormat.java,4.0.0,0,0,0,0,10,0,9,0,44,0,0,0,0
spark-client/src/main/java/org/apache/hive/spark/client/AbstractSparkClient.java,4.0.0,0,0,0,0,44,0,3,0,473,0,0,0,2
hcatalog/core/src/main/java/org/apache/hive/hcatalog/cli/SemanticAnalysis/HCatSemanticAnalyzerBase.java,4.0.0,0,0,0,0,6,0,5,0,200,0,0,0,0
hcatalog/core/src/main/java/org/apache/hive/hcatalog/storagehandler/DummyHCatAuthProvider.java,4.0.0,0,0,0,0,3,0,3,0,454,0,0,0,0
itests/util/src/main/java/org/apache/hadoop/hive/ql/security/DummyHiveMetastoreAuthorizationProvider.java,4.0.0,0,0,0,0,6,0,6,0,162,0,0,0,0
