File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java,2.1.1,1340,550,90,5,111,29,36,3,4,118,1,30,36
ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverMergeFiles.java,2.1.1,43,24,11,5,11,8,8,39,43,198,4,4,4
beeline/src/java/org/apache/hive/beeline/SeparatedValuesOutputFormat.java,2.1.1,74,68,3,0,4,2,5,116,163,288,203,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java,2.1.1,233,45,15,0,36,11,18,35,19,184,1,7,10
ql/src/java/org/apache/hadoop/hive/ql/exec/TableScanOperator.java,2.1.1,63,25,10,5,19,9,12,38,32,225,86,2,3
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/reducesink/VectorReduceSinkCommonOperator.java,2.1.1,129,162,16,0,19,4,6,24,42,187,108,3,5
ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/PhysicalOptimizer.java,2.1.1,10,6,6,0,6,6,6,40,40,174,82,0,0
ql/src/java/org/apache/hadoop/hive/ql/parse/TezCompiler.java,2.1.1,972,34,28,0,41,12,17,15,14,169,18,13,16
ql/src/java/org/apache/hadoop/hive/ql/parse/spark/SparkCompiler.java,2.1.1,186,16,13,0,19,7,10,24,35,133,7,5,6
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/fast/VectorMapJoinFastHashTable.java,2.1.1,29,3,8,0,11,5,8,46,89,266,94,1,1
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorGroupByOperator.java,2.1.1,341,109,22,0,34,5,9,7,19,206,108,6,7
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorHashKeyWrapperBatch.java,2.1.1,461,198,14,0,16,5,6,27,34,192,108,1,1
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java,2.1.1,109,22,24,0,33,13,20,14,23,120,4,5,6
ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/CommonJoinTaskDispatcher.java,2.1.1,19,20,4,0,6,4,7,239,53,138,1,1,1
common/src/java/org/apache/hadoop/hive/common/LogUtils.java,2.1.1,0,0,9,5,13,5,6,63,92,174,86,4,5
itests/hive-unit/src/test/java/org/apache/hive/service/cli/operation/TestOperationLoggingLayout.java,2.1.1,144,19,7,11,10,3,5,105,107,130,73,3,5
ql/src/java/org/apache/hadoop/hive/ql/Driver.java,2.1.1,1265,495,95,0,161,34,47,3,3,111,1,33,59
ql/src/java/org/apache/hadoop/hive/ql/exec/TaskRunner.java,2.1.1,4,11,5,0,11,3,7,145,54,201,29,0,1
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java,2.1.1,139,103,21,7,41,10,22,28,18,171,7,3,4
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/MapredLocalTask.java,2.1.1,44,28,19,0,30,11,19,22,22,128,14,0,1
ql/src/java/org/apache/hadoop/hive/ql/log/LogDivertAppender.java,2.1.1,0,0,8,11,8,3,3,35,35,118,37,1,1
ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java,2.1.1,106,84,14,0,24,8,12,53,45,215,1,3,5
ql/src/java/org/apache/hadoop/hive/ql/session/OperationLog.java,2.1.1,56,77,7,0,14,3,9,70,59,229,113,1,1
service/src/java/org/apache/hive/service/cli/operation/HiveCommandOperation.java,2.1.1,13,9,7,0,17,2,8,39,17,288,203,1,4
service/src/java/org/apache/hive/service/cli/operation/LogDivertAppender.java,2.1.1,0,0,3,0,9,1,5,0,42,203,203,0,1
service/src/java/org/apache/hive/service/cli/operation/Operation.java,2.1.1,42,131,18,5,38,9,14,28,15,195,14,4,7
service/src/java/org/apache/hive/service/cli/operation/OperationManager.java,2.1.1,76,65,16,0,29,10,16,14,15,159,14,0,3
service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java,2.1.1,184,168,26,0,47,14,19,14,15,145,7,5,13
ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java,2.1.1,2276,576,91,11,153,20,27,5,4,142,1,48,69
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,2.1.1,3454,1630,191,17,299,41,56,1,2,98,1,0,0
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,2.1.1,1963,360,342,49,569,56,71,1,1,89,1,26,45
spark-client/src/main/java/org/apache/hive/spark/client/rpc/Rpc.java,2.1.1,33,17,7,0,8,3,4,43,51,83,73,0,0
spark-client/src/main/java/org/apache/hive/spark/client/rpc/RpcDispatcher.java,2.1.1,14,20,3,0,3,3,4,215,322,54,7,0,0
spark-client/src/test/java/org/apache/hive/spark/client/rpc/TestRpc.java,2.1.1,118,12,5,0,6,3,3,128,128,119,73,2,2
beeline/src/java/org/apache/hive/beeline/BeeLine.java,2.1.1,537,293,34,0,71,17,30,13,7,101,1,12,23
beeline/src/java/org/apache/hive/beeline/Commands.java,2.1.1,329,164,26,0,44,11,17,13,12,97,7,8,11
beeline/src/test/org/apache/hive/beeline/TestCommands.java,2.1.1,0,0,4,0,4,4,4,128,128,162,13,2,2
beeline/src/test/org/apache/hive/beeline/cli/TestHiveCli.java,2.1.1,23,5,5,0,21,5,10,43,19,136,13,1,3
common/src/java/org/apache/hive/common/util/HiveStringUtils.java,2.1.1,236,13,11,0,13,9,11,51,51,124,4,4,4
common/src/test/org/apache/hive/common/util/TestHiveStringUtils.java,2.1.1,0,0,2,0,2,2,3,197,538,192,13,0,0
metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,2.1.1,0,0,92,5,163,34,49,2,2,101,1,30,47
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/RemoteHiveSparkClient.java,2.1.1,49,25,18,0,35,7,12,27,28,131,14,5,10
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFStringToMap.java,2.1.1,15,3,4,0,4,4,6,130,130,152,8,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkTask.java,2.1.1,307,20,24,0,35,7,15,18,21,99,14,3,4
ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java,2.1.1,1333,146,42,0,58,9,12,6,9,193,8,19,24
hcatalog/streaming/src/java/org/apache/hive/hcatalog/streaming/HiveEndPoint.java,2.1.1,140,69,14,0,24,6,10,18,25,170,37,7,12
hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java,2.1.1,506,210,29,0,44,10,13,15,13,140,18,6,15
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,2.1.1,0,0,37,5,78,10,11,7,7,188,1,16,45
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands.java,2.1.1,602,192,37,5,44,11,13,6,6,164,18,16,19
ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager2.java,2.1.1,1591,467,34,0,48,12,13,13,13,205,37,12,19
ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java,2.1.1,1333,146,42,0,58,9,12,6,9,193,8,19,24
common/src/java/org/apache/hadoop/hive/common/ValidCompactorTxnList.java,2.1.1,0,0,7,0,11,4,4,73,46,105,7,4,5
common/src/java/org/apache/hadoop/hive/common/ValidReadTxnList.java,2.1.1,0,0,6,0,7,3,3,146,211,138,86,2,2
common/src/java/org/apache/hadoop/hive/common/ValidTxnList.java,2.1.1,0,0,6,0,7,3,4,146,196,138,86,1,1
common/src/test/org/apache/hadoop/hive/common/TestValidReadTxnList.java,2.1.1,0,0,5,0,5,3,4,216,276,138,86,1,1
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCompactor.java,2.1.1,974,246,26,0,38,11,15,12,13,147,18,8,12
metastore/src/gen/thrift/gen-cpp/hive_metastore_types.cpp,2.1.1,0,0,20,0,46,8,15,20,15,188,37,0,1
metastore/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetOpenTxnsResponse.java,2.1.1,0,0,6,0,16,4,10,70,22,173,86,2,2
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,2.1.1,0,0,37,5,78,10,11,7,7,188,1,16,45
metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java,2.1.1,0,0,11,0,19,4,4,22,21,105,7,5,10
metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestValidCompactorTxnList.java,2.1.1,0,0,7,0,8,3,4,73,85,138,86,0,0
ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java,2.1.1,1333,146,42,0,58,9,12,6,9,193,8,19,24
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java,2.1.1,743,302,43,0,100,11,14,8,5,181,18,17,36
ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java,2.1.1,1231,173,41,5,65,11,14,10,10,141,18,16,31
ql/src/test/org/apache/hadoop/hive/ql/io/TestAcidUtils.java,2.1.1,306,75,12,0,18,6,7,13,34,250,37,4,5
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestOrcRawRecordMerger.java,2.1.1,597,290,16,0,24,4,7,17,23,206,37,3,4
ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java,2.1.1,1340,550,90,5,111,29,36,3,4,118,1,30,36
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzerFactory.java,2.1.1,92,15,24,0,34,12,19,18,18,144,17,3,3
ql/src/java/org/apache/hadoop/hive/ql/plan/HiveOperation.java,2.1.1,51,23,20,0,28,13,18,24,25,143,17,0,0
ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java,2.1.1,109,22,24,0,33,13,20,0,0,0,0,0,0
