Issue key,Version,
HIVE-15769,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/CalciteViewSemanticException.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java;ql/src/java/org/apache/hadoop/hive/ql/parse/QB.java;ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-15766,2.1.1,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
HIVE-15756,2.0.0,
HIVE-15752,2.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/DDLSemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/Operation2Privilege.java
HIVE-15517,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPEqualNS.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNotEqualNS.java
HIVE-15329,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java
HIVE-15311,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/ColumnStatsSemanticAnalyzer.java
HIVE-15297,2.1.0,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java;itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java
HIVE-15247,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java
HIVE-15234,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveRelFactories.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveJoin.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/reloperators/HiveMultiJoin.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdDistinctRowCount.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSelectivity.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSize.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveOpConverter.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
HIVE-15160,2.3.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveProjectSortTransposeRule.java;ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java;ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java
HIVE-15110,2.1.0,
HIVE-15096,2.1.0,hplsql/src/main/java/org/apache/hive/hplsql/Exec.java
HIVE-15054,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HivePairFlatMapFunction.java
HIVE-14742,2.0.0,
HIVE-14620,2.1.0,
HIVE-14393,2.1.0,
HIVE-14367,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/stats/annotation/StatsRulesProcFactory.java;ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUtils.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFAverage.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMax.java;ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMin.java
HIVE-14342,2.0.0,
HIVE-14324,2.2.0,ql/src/java/org/apache/hadoop/hive/ql/io/sarg/ConvertAstToSearchArg.java;ql/src/test/org/apache/hadoop/hive/ql/io/sarg/TestConvertAstToSearchArg.java
HIVE-14322,2.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java
HIVE-14296,2.0.0,service/src/java/org/apache/hive/service/cli/session/SessionManager.java;service/src/java/org/apache/hive/service/cli/session/SessionManager.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftCLIService.java
HIVE-14251,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java;ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java;serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/TypeInfoUtils.java
HIVE-14241,2.0.0,hcatalog/streaming/src/test/org/apache/hive/hcatalog/streaming/TestStreaming.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java;ql/src/java/org/apache/hadoop/hive/ql/exec/FetchOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/FetchTask.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-14236,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FileSinkOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/MoveTask.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java;ql/src/java/org/apache/hadoop/hive/ql/parse/GenTezUtils.java;ql/src/java/org/apache/hadoop/hive/ql/plan/FileSinkDesc.java;ql/src/java/org/apache/hadoop/hive/ql/stats/StatsCollectionContext.java;ql/src/java/org/apache/hadoop/hive/ql/stats/fs/FSStatsPublisher.java
HIVE-14229,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java;ql/src/java/org/apache/hadoop/hive/ql/processors/ReloadProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java;ql/src/test/org/apache/hadoop/hive/ql/session/TestSessionState.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java
HIVE-14210,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/mr/ExecDriver.java
HIVE-14153,2.1.0,
HIVE-14133,2.1.0,
HIVE-14132,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java
HIVE-14038,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConfUtil.java;hcatalog/webhcat/svr/src/main/java/org/apache/hive/hcatalog/templeton/AppConfig.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager2.java
HIVE-14015,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java
HIVE-14006,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/UnionOperator.java
HIVE-13989,2.0.0,
HIVE-13932,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SMBMapJoinOperator.java
HIVE-13858,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/Operator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MapRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/MergeFileRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/RecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/ReduceRecordProcessor.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezProcessor.java
HIVE-13844,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/index/HiveIndex.java;ql/src/test/org/apache/hadoop/hive/ql/index/TestIndexType.java
HIVE-13837,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/ASTBuilder.java
HIVE-13833,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java
HIVE-13829,2.0.0,
HIVE-13813,2.0.0,common/src/java/org/apache/hadoop/hive/common/metrics/common/MetricsConstant.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-13809,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/MapJoinOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/HybridHashTableContainer.java;ql/src/java/org/apache/hadoop/hive/ql/exec/tez/HashTableLoader.java
HIVE-13768,2.0.0,
HIVE-13756,2.0.0,hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/FileOutputCommitterContainer.java
HIVE-13754,2.0.0,hcatalog/core/src/main/java/org/apache/hive/hcatalog/common/HCatConstants.java;hcatalog/core/src/main/java/org/apache/hive/hcatalog/common/HCatUtil.java;hcatalog/core/src/main/java/org/apache/hive/hcatalog/common/HiveClientCache.java;hcatalog/core/src/test/java/org/apache/hive/hcatalog/common/TestHiveClientCache.java;metastore/src/java/org/apache/hadoop/hive/metastore/IMetaStoreClient.java;metastore/src/java/org/apache/hadoop/hive/metastore/RetryingMetaStoreClient.java;metastore/src/java/org/apache/hadoop/hive/metastore/annotation/NoReconnect.java
HIVE-13725,2.0.0,hcatalog/streaming/src/java/org/apache/hive/hcatalog/streaming/HiveEndPoint.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java;ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands.java
HIVE-13704,2.0.0,shims/0.23/src/main/java/org/apache/hadoop/hive/shims/Hadoop23Shims.java
HIVE-13699,2.0.0,storage-api/src/java/org/apache/hadoop/hive/ql/util/JavaDataModel.java;storage-api/src/test/org/apache/hadoop/hive/ql/util/JavaDataModelTest.java
HIVE-13693,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/ppd/OpProcFactory.java
HIVE-13676,2.0.0,hcatalog/core/src/test/java/org/apache/hive/hcatalog/mapreduce/TestHCatMultiOutputFormat.java;hcatalog/webhcat/java-client/src/test/java/org/apache/hive/hcatalog/api/TestHCatClient.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestMarkPartitionRemote.java;metastore/src/java/org/apache/hadoop/hive/metastore/MetaStoreUtils.java;metastore/src/test/org/apache/hadoop/hive/metastore/TestHiveMetaStoreGetMetaConf.java;metastore/src/test/org/apache/hadoop/hive/metastore/TestHiveMetaStorePartitionSpecs.java;ql/src/test/org/apache/hadoop/hive/ql/metadata/TestHiveRemote.java
HIVE-13619,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/OperatorUtils.java
HIVE-13618,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-13608,2.0.0,itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java;metastore/src/java/org/apache/hadoop/hive/metastore/RetryingMetaStoreClient.java
HIVE-13602,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/metadata/VirtualColumn.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConstantPropagateProcCtx.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/ConstantPropagateProcFactory.java;ql/src/java/org/apache/hadoop/hive/ql/optimizer/SortedDynPartitionOptimizer.java
HIVE-13570,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/ColumnPrunerProcCtx.java
HIVE-13561,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniHS2.java;ql/src/java/org/apache/hadoop/hive/ql/exec/Registry.java
HIVE-13553,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-13542,2.0.0,itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java
HIVE-13523,2.0.0,orc/src/java/org/apache/orc/DataReader.java;orc/src/java/org/apache/orc/DataReaderFactory.java;orc/src/java/org/apache/orc/MetadataReaderFactory.java;orc/src/java/org/apache/orc/impl/DataReaderProperties.java;orc/src/java/org/apache/orc/impl/DefaultMetadataReaderFactory.java;orc/src/java/org/apache/orc/impl/MetadataReader.java;orc/src/java/org/apache/orc/impl/MetadataReaderImpl.java;orc/src/java/org/apache/orc/impl/MetadataReaderProperties.java;orc/src/test/org/apache/orc/impl/TestDataReaderProperties.java;orc/src/test/org/apache/orc/impl/TestMetadataReaderProperties.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/DefaultDataReaderFactory.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderImpl.java;ql/src/java/org/apache/hadoop/hive/ql/io/orc/RecordReaderUtils.java;ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestRecordReaderImpl.java
HIVE-13512,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/plan/TezWork.java;ql/src/test/org/apache/hadoop/hive/ql/plan/TestTezWorkConcurrency.java
HIVE-13463,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/ImportSemanticAnalyzer.java
HIVE-13456,2.0.0,
HIVE-13452,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
HIVE-13440,2.0.0,service/src/gen/thrift/gen-cpp/ThriftHive.cpp;service/src/gen/thrift/gen-cpp/ThriftHive_server.skeleton.cpp;service/src/gen/thrift/gen-cpp/hive_service_constants.cpp;service/src/gen/thrift/gen-cpp/hive_service_types.cpp;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/HiveClusterStatus.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/HiveServerException.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/JobTrackerState.java;service/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/service/ThriftHive.java
HIVE-13439,2.0.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcDriver2.java;jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
HIVE-13428,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/security/SecretManager.java
HIVE-13423,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFSum.java
HIVE-13410,2.0.0,common/src/java/org/apache/hadoop/hive/ql/log/PerfLogger.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestMetaStoreMetrics.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/miniHS2/TestHs2Metrics.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java
HIVE-13408,2.0.0,
HIVE-13405,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcRawRecordMerger.java
HIVE-13395,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStoreTxns.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnDbUtil.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java;metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestCompactionTxnHandler.java;metastore/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnHandler.java;ql/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java;ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbLockManager.java;ql/src/java/org/apache/hadoop/hive/ql/lockmgr/DbTxnManager.java;ql/src/java/org/apache/hadoop/hive/ql/txn/AcidWriteSetService.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/HouseKeeperServiceBase.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java;ql/src/test/org/apache/hadoop/hive/ql/io/TestAcidUtils.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager.java;ql/src/test/org/apache/hadoop/hive/ql/lockmgr/TestDbTxnManager2.java;ql/src/test/org/apache/hadoop/hive/ql/txn/compactor/TestCleaner.java
HIVE-13394,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFComputeStats.java
HIVE-13390,2.0.0,itests/hive-unit/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestSSL.java;jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java;service/src/java/org/apache/hive/service/auth/HiveAuthFactory.java
HIVE-13383,2.1.0,metastore/src/java/org/apache/hadoop/hive/metastore/RetryingMetaStoreClient.java
HIVE-13381,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/FunctionRegistry.java;ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java;ql/src/test/org/apache/hadoop/hive/ql/exec/TestFunctionRegistry.java;ql/src/test/org/apache/hadoop/hive/ql/exec/vector/TestVectorizationContext.java
HIVE-13373,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/parse/TypeCheckProcFactory.java
HIVE-13361,2.1.0,orc/src/java/org/apache/orc/OrcFile.java;orc/src/java/org/apache/orc/impl/WriterImpl.java;ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java
HIVE-13335,2.0.0,
HIVE-13333,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
HIVE-13330,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/TreeReaderFactory.java
HIVE-13326,2.0.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java;itests/hive-unit/src/main/java/org/apache/hive/jdbc/miniHS2/MiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithLocalClusterSpark.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcWithMiniMr.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestMultiSessionsHS2WithLocalClusterSpark.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestServiceDiscoveryWithMiniHS2.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestHS2AuthzContext.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcMetadataApiAuth.java;itests/hive-unit/src/test/java/org/apache/hive/jdbc/authorization/TestJdbcWithSQLAuthorization.java;jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java;service/src/java/org/apache/hive/service/server/HiveServer2.java
HIVE-13320,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToByte.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToDouble.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToFloat.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToInteger.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToLong.java;ql/src/java/org/apache/hadoop/hive/ql/udf/UDFToShort.java
HIVE-13300,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkReduceRecordHandler.java
HIVE-13299,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/hbase/HBaseStore.java
HIVE-13293,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SortByShuffler.java;ql/src/java/org/apache/hadoop/hive/ql/exec/spark/SparkPlanGenerator.java
HIVE-13286,2.0.0,cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java;itests/hive-unit/src/test/java/org/apache/hive/service/cli/session/TestHiveSessionImpl.java;ql/src/java/org/apache/hadoop/hive/ql/Driver.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java
HIVE-13285,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractFileMergeOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/OrcFileMergeOperator.java
HIVE-13280,2.0.0,
HIVE-13261,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-13260,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/correlation/ReduceSinkDeDuplication.java
HIVE-13240,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/GroupByOperator.java;ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
HIVE-13236,2.0.0,llap-server/src/java/org/apache/hadoop/hive/llap/security/SecretManager.java
HIVE-13235,2.0.0,
HIVE-13225,2.1.0,
HIVE-13217,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/SparkHashTableSinkOperator.java
HIVE-13216,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/io/orc/ReaderImpl.java
HIVE-13201,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java;ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
HIVE-13200,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/MetadataOnlyOptimizer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/TableScanDesc.java
HIVE-13191,2.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java;ql/src/java/org/apache/hadoop/hive/ql/plan/ExprNodeDescUtils.java
HIVE-13186,2.0.0,hcatalog/core/src/test/java/org/apache/hive/hcatalog/cli/TestSemanticAnalysis.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
HIVE-13175,2.0.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/TestHiveMetaStore.java;metastore/src/java/org/apache/hadoop/hive/metastore/TransactionalValidationListener.java
HIVE-13174,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java
HIVE-13169,2.0.0,itests/hive-unit-hadoop2/src/test/java/org/apache/hadoop/hive/thrift/TestHadoopAuthBridge23.java;itests/hive-unit/src/test/java/org/apache/hadoop/hive/thrift/TestZooKeeperTokenStore.java;jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java;jdbc/src/java/org/apache/hive/jdbc/HttpTokenAuthInterceptor.java;metastore/src/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java;service/src/java/org/apache/hive/service/auth/HiveAuthFactory.java;service/src/java/org/apache/hive/service/cli/CLIService.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImpl.java;service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpCLIService.java;service/src/java/org/apache/hive/service/cli/thrift/ThriftHttpServlet.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/DelegationTokenSecretManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/HadoopThriftAuthBridge.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/HiveDelegationTokenManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/TokenStoreDelegationTokenSecretManager.java;shims/common/src/main/java/org/apache/hadoop/hive/thrift/ZooKeeperTokenStore.java
HIVE-13163,2.1.0,orc/src/java/org/apache/orc/impl/MemoryManager.java
HIVE-13159,2.0.0,metastore/src/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java;ql/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnHandlerNoConnectionPool.java
HIVE-13151,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Cleaner.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java;hcatalog/streaming/src/java/org/apache/hive/hcatalog/streaming/HiveEndPoint.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Cleaner.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/CompactorThread.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java;ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java;ql/src/test/org/apache/hadoop/hive/ql/TestTxnCommands2.java
HIVE-13144,2.0.0,service/src/java/org/apache/hive/service/server/HiveServer2.java
HIVE-13141,2.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/spark/HiveSparkClientFactory.java
HIVE-13134,2.1.0,
