hive-2.0.0: 21cf6ff3789ed94bdf61587e2e73fb94b1d9304c 2016-02-15 07:53:56 -0800
hive-2.0.1: 115d225d8d311e1d1fa42e8f103c214b26c209a2 2016-05-24 12:27:09 -0700
hive-2.1.0: c168af26de36ecb66e606b040c862a222ee2a190 2016-06-20 18:00:32 -0700
hive-2.1.1: 52f1b2471545a797856e4b9b1ae0a36cb4233c18 2018-05-04 14:32:50 -0700
hive-2.2.0: 52f1b2471545a797856e4b9b1ae0a36cb4233c18 2018-05-04 14:32:50 -0700
hive-2.3.0: 90149de71eecb3374fcee0b876324a3b84b8a93d 2017-10-04 09:41:53 -0500
hive-2.3.1: d7d96658c233b100754884985860bf40f97264ee 2017-11-06 12:50:46 -0800
hive-2.3.2: b2e411e8cad0da0af370e2b3e2d0bf9cb32dfe7f 2018-03-27 15:47:19 -0700
hive-2.3.3: 52f1b2471545a797856e4b9b1ae0a36cb4233c18 2018-05-04 14:32:50 -0700
hive-2.3.4: 353c55e22d0b0f4603053a7ef45afb5b7b244b75 2018-11-05 21:03:31 -0800
hive-2.3.5: de69a0f9d973822895f3ff0744ee3af768118268 2019-05-14 14:01:32 +0530
hive-2.3.6: db59ec6ecf57dad72588b7593fb516c3e810b5a2 2019-08-22 11:16:02 +0200
hive-2.3.7: 03efbb3db1bbccfd3548fa7fa3f130be081e1cdd 2020-07-02 10:07:22 -0700
hive-2.3.8: 89073a94354f0cc14ec4ae0a43e05aae29276b4d 2021-01-15 19:22:07 +0530
hive-2.3.9: 01b8fcffcb31cc128e71350d1b25c98b50ee85e5 2022-06-17 12:58:29 +0200
hive-2.3.10: 7950967eae9640fcc0aa22f4b6c7906b34281eac 2024-05-09 04:59:02 +0530
hive-3.0.0: ed95ee90608a73fe08747b5483f1bc5ff14bfa22 2018-05-22 14:09:15 -0700
hive-3.1.0: 65f02d2f99b990cb28fd6a832fa3425042e60a04 2018-07-30 15:35:56 -0700
hive-3.1.1: 4b40f7d2b35df26af773ec138fdf521231792cdf 2018-10-31 23:37:41 +0900
hive-3.1.2: 01b8fcffcb31cc128e71350d1b25c98b50ee85e5 2022-06-17 12:58:29 +0200
hive-3.1.3: 01b8fcffcb31cc128e71350d1b25c98b50ee85e5 2022-06-17 12:58:29 +0200
hive-4.0.0: 8b287869bd75665cdcf7f59b64389b6e33cfbab8 2024-03-28 09:07:48 +0100
hive-4.0.1: 799b5cfd95c13433ec46a8aaa23e0b2f38f24d24 2024-10-02 10:49:11 +0200
