Bug ID,Version,File,Priority
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/ReplicationSemanticAnalyzer.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/HiveWrapper.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/TableExport.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/Utils.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AbstractConstraintEventHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AddPartitionHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterPartitionHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/AlterTableHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/CreateTableHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/InsertHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/UpdatePartColStatHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/events/UpdateTableColStatHandler.java,Critical
HIVE-21029,3.1.1,ql/src/java/org/apache/hadoop/hive/ql/parse/repl/dump/io/TableSerializer.java,Critical
HIVE-20858,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/Utilities.java,Major
HIVE-20848,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/hooks/UpdateInputAccessTimeHook.java,Major
HIVE-20792,3.1.0,common/src/java/org/apache/hadoop/hive/common/type/TimestampUtils.java,Major
HIVE-20792,3.1.0,serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/PrimitiveObjectInspectorUtils.java,Major
HIVE-20785,3.1.0,service/src/java/org/apache/hive/service/cli/operation/GetPrimaryKeysOperation.java,Major
HIVE-20751,3.1.0,ql/src/java/org/apache/hadoop/hive/llap/LlapArrowRecordWriter.java,Major
HIVE-20751,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/arrow/ArrowColumnarBatchSerDe.java,Major
HIVE-20751,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/arrow/ArrowWrapperWritable.java,Major
HIVE-20751,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/arrow/Serializer.java,Major
HIVE-20714,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosAcrossInstances.java,Major
HIVE-20714,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java,Major
HIVE-20679,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/messaging/json/gzip/DeSerializer.java,Major
HIVE-20679,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/messaging/json/gzip/Serializer.java,Major
HIVE-20679,3.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Major
HIVE-20679,3.1.0,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/DbNotificationListener.java,Major
HIVE-20679,3.1.0,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/messaging/json/JSONCreateFunctionMessage.java,Major
HIVE-20679,3.1.0,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/messaging/json/JSONDropFunctionMessage.java,Major
HIVE-20679,3.1.0,hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/messaging/json/JSONMessageFactory.java,Major
HIVE-20679,3.1.0,itests/hcatalog-unit/src/test/java/org/apache/hive/hcatalog/listener/TestDbNotificationListener.java,Major
HIVE-20679,3.1.0,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplAcidTablesWithJsonMessage.java,Major
