Bug,FileName,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,File_method,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,File_class,CountClassBase_class,CountClassCoupled_class,CountClassDerived_class,MaxInheritanceTree_class,PercentLackOfCohesion_class,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4,Priority
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsUpdateWork.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,7.0,,,,7.0,7.0,4.0,,,,7.0,,,0.0,,0.0,0.0,7.0,,75.0,11.0,39.0,21.0,11.0,25.0,,,,,,19.0,27.0,17.0,,10.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,0.64,7.0,7.0,7.0,7.0,7.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsUpdateWork.java,0.0,1.6666666666666667,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsUpdateWork.java,2.0,5.0,0.0,1.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsWork.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,13.0,,,,13.0,12.0,3.0,,,,13.0,,,0.0,,0.0,0.0,13.0,,97.0,19.0,57.0,28.0,17.0,21.0,,,,,,26.0,40.0,25.0,,15.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,0.37,13.0,13.0,13.0,13.0,13.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsWork.java,1.0,1.7272727272727273,4.0,1.0,1.2727272727272727,2.0,1.0,1.0,1.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ColumnStatsWork.java,2.0,7.0,0.0,1.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CommonMergeJoinDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,1.0,,0.0,0.0,5.0,,61.0,10.0,34.0,17.0,11.0,17.0,,,,,,15.0,23.0,14.0,,9.0,,,,,,,2.0,2.0,2.0,2.0,1.0,,0.0,1.0,,0.0,,0.5,7.0,7.0,7.0,7.0,6.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CommonMergeJoinDesc.java,1.0,2.25,3.0,1.0,1.5,3.0,1.0,1.25,2.0,0.0,0.25,1.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CommonMergeJoinDesc.java,2.0,2.0,0.0,4.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolver.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,,1.0,,,1.0,,0.0,0.0,0.0,,43.0,5.0,8.0,7.0,0.0,30.0,,,,,,6.0,7.0,7.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,3.75,0.0,0.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolver.java,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverCommonJoin.java,8.0,1.0,7.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,3.0,20.0,,,,20.0,20.0,6.0,,,,20.0,,,0.0,,2.0,2.0,16.0,,246.0,38.0,174.0,77.0,87.0,34.0,,,,,,91.0,134.0,79.0,,77.0,,,,,,,8.0,8.0,10.0,10.0,4.0,,0.0,4.0,,0.0,,0.2,36.0,36.0,40.0,40.0,25.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverCommonJoin.java,2.0,3.888888888888889,7.0,1.0,3.555555555555556,17.0,1.0,2.7777777777777777,20.0,0.0,0.5555555555555556,4.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverCommonJoin.java,5.0,26.0,0.0,1.0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverMergeFiles.java,17.0,1.0,11.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,2.0,20.0,,,,20.0,20.0,6.0,,,,20.0,,,0.0,,5.0,0.0,15.0,,414.0,50.0,244.0,102.0,149.0,127.0,,,,,,136.0,181.0,94.0,,124.0,,,,,,,10.0,10.0,11.0,11.0,5.0,,0.0,5.0,,0.0,,0.52,43.0,43.0,44.0,44.0,27.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverMergeFiles.java,1.0,3.6875,15.0,1.0,5.3125,32.0,1.0,3.375,18.0,0.0,0.875,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverMergeFiles.java,6.0,31.0,0.0,1.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverSkewJoin.java,8.0,0.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,8.0,,,,8.0,8.0,2.0,,,,8.0,,,0.0,,0.0,0.0,8.0,,129.0,14.0,82.0,46.0,34.0,33.0,,,,,,41.0,58.0,40.0,,27.0,,,,,,,7.0,7.0,9.0,9.0,1.0,,0.0,5.0,,0.0,,0.4,14.0,14.0,16.0,16.0,8.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverSkewJoin.java,2.0,3.2,4.0,1.0,4.0,16.0,1.0,3.2,12.0,0.0,1.0,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalResolverSkewJoin.java,5.0,15.0,0.0,1.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalWork.java,5.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,4.0,,,,4.0,4.0,1.0,,,,4.0,,,0.0,,0.0,0.0,4.0,,56.0,8.0,20.0,12.0,4.0,28.0,,,,,,9.0,14.0,11.0,,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,1.4,4.0,4.0,4.0,4.0,4.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalWork.java,2.0,2.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/ConditionalWork.java,2.0,2.0,0.0,1.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CopyWork.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,7.0,,,,7.0,7.0,3.0,,,,7.0,,,0.0,,0.0,0.0,7.0,,68.0,12.0,35.0,19.0,9.0,21.0,,,,,,16.0,24.0,16.0,,8.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,0.6,7.0,7.0,7.0,7.0,7.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CopyWork.java,2.0,3.75,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CopyWork.java,2.0,3.0,1.0,1.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CreateDatabaseDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,13.0,,,,13.0,13.0,5.0,,,,13.0,,,0.0,,0.0,0.0,13.0,,106.0,21.0,61.0,30.0,18.0,24.0,,,,,,27.0,41.0,24.0,,17.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,0.0,,0.39,13.0,13.0,13.0,13.0,13.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CreateDatabaseDesc.java,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/plan/CreateDatabaseDesc.java,2.0,4.0,0.0,2.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
