File,Version,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/Warehouse.java,3.1.1,0,0,3,0,34,2,4,46,46,284,140,1,2
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,3.1.1,266,312,12,0,254,6,6,3,1,122,7,2,3
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/TezSessionPoolManager.java,3.1.1,0,0,0,0,41,0,8,0,15,0,0,0,19
ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Initiator.java,3.1.1,0,0,1,0,28,1,9,0,26,88,88,0,6
ql/src/test/org/apache/hadoop/hive/metastore/txn/TestCompactionTxnHandler.java,3.1.1,0,0,0,0,13,0,6,0,66,0,0,0,2
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/CompactionTxnHandler.java,3.1.1,2,50,1,0,32,1,2,0,17,325,325,0,1
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java,3.1.1,449,243,8,0,117,5,6,7,7,42,2,4,6
standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnStore.java,3.1.1,0,0,1,0,28,1,3,0,43,7,7,0,1
ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java,3.1.1,652,259,17,0,242,9,52,3,3,142,1,6,82
ql/src/test/org/apache/hadoop/hive/ql/TestTxnExIm.java,3.1.1,0,0,1,0,7,1,3,0,13,224,224,0,2
ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,3.1.1,662,472,15,0,341,9,62,2,2,141,16,7,0
ql/src/java/org/apache/hadoop/hive/ql/optimizer/FixedBucketPruningOptimizer.java,3.1.1,0,0,0,0,9,0,7,0,54,0,0,0,5
common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,3.1.1,159,25,42,0,668,23,81,1,1,130,2,1,0
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosExternalTables.java,3.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestReplicationScenariosIncrementalLoadAcidTables.java,3.1.1,0,0,4,0,14,2,2,21,21,66,44,2,2
ql/src/java/org/apache/hadoop/hive/ql/Driver.java,3.1.1,57,91,7,0,181,7,52,8,3,83,2,1,69
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplDumpTask.java,3.1.1,40,38,3,0,27,3,7,14,6,45,2,1,8
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplExternalTables.java,3.1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplLoadTask.java,3.1.1,0,0,2,0,18,1,1,54,24,88,88,1,2
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/ReplLoadWork.java,3.1.1,13,7,2,0,11,1,1,46,46,88,88,0,1
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/BootstrapEventsIterator.java,3.1.1,0,0,0,0,4,0,3,0,134,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/ConstraintEventsIterator.java,3.1.1,0,0,0,0,3,0,2,0,62,0,0,0,3
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/DatabaseEventsIterator.java,3.1.1,0,0,1,0,5,1,3,0,122,88,88,1,3
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/FSTableEvent.java,3.1.1,0,0,0,0,5,0,3,0,63,0,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/load/table/LoadPartitions.java,3.1.1,31,8,4,0,24,1,12,11,10,88,88,3,10
