Bug,FileName,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,File_method,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,File_class,CountClassBase_class,CountClassCoupled_class,CountClassDerived_class,MaxInheritanceTree_class,PercentLackOfCohesion_class,Insertion,Deletion,hCounterV,bugFixCounter,hCounterB4V,devCounter,devCounterB4,avgbtwhDays,avgbtwhDaysPlus,expertiseAvg,expertiseMin,codechangedV,codechangedB4
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorReduceSinkOperator.java,12.0,2.0,9.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,5.0,,,,5.0,5.0,4.0,,,,5.0,,,0.0,,0.0,2.0,3.0,,112.0,25.0,62.0,28.0,29.0,25.0,,,,,,41.0,51.0,27.0,,24.0,,,,,,,5.0,5.0,5.0,5.0,1.0,,0.0,2.0,,0.0,,0.4,9.0,9.0,9.0,9.0,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorReduceSinkOperator.java,2.0,6.0,10.0,4.0,7.0,10.0,1.0,4.5,8.0,0.0,1.0,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorReduceSinkOperator.java,1.0,12.0,0.0,4.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSMBMapJoinOperator.java,15.0,2.0,12.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,2.0,16.0,,,,17.0,17.0,16.0,,,,17.0,,,1.0,,1.0,5.0,10.0,,314.0,63.0,206.0,79.0,120.0,45.0,,,,,,132.0,164.0,85.0,,91.0,,,,,,,7.0,7.0,7.0,7.0,1.0,,0.0,3.0,,0.0,,0.22,31.0,31.0,32.0,32.0,16.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSMBMapJoinOperator.java,0.0,4.5,8.0,1.0,4.5,20.0,0.0,2.857142857142857,19.0,0.0,0.6428571428571429,3.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSMBMapJoinOperator.java,7.0,54.0,0.0,5.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSelectOperator.java,9.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,12.0,,,,12.0,11.0,4.0,,,,12.0,,,0.0,,0.0,2.0,10.0,,179.0,31.0,118.0,53.0,59.0,30.0,,,,,,74.0,96.0,52.0,,51.0,,,,,,,4.0,4.0,4.0,4.0,1.0,,0.0,2.0,,0.0,,0.25,20.0,20.0,20.0,20.0,12.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSelectOperator.java,0.0,2.7777777777777777,12.0,1.0,3.0,12.0,1.0,1.7777777777777777,5.0,0.0,0.3333333333333333,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSelectOperator.java,2.0,19.0,1.0,2.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSerializeRow.java,12.0,0.0,11.0,0.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,43.0,,,,44.0,44.0,8.0,,,,44.0,,,32.0,,2.0,0.0,10.0,,662.0,88.0,536.0,127.0,323.0,38.0,,,,,,241.0,352.0,116.0,,245.0,,,,,,,18.0,4.0,18.0,6.0,4.0,,0.0,2.0,,0.0,,0.07,107.0,92.0,135.0,120.0,85.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSerializeRow.java,1.0,7.88,22.0,1.0,3.4,18.0,0.0,3.44,16.0,0.0,1.4,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSerializeRow.java,18.0,130.0,16.0,3.0,9.72222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkHashTableSinkOperator.java,10.0,1.0,9.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,5.0,,,,5.0,5.0,4.0,,,,5.0,,,0.0,,0.0,2.0,3.0,,109.0,21.0,61.0,27.0,28.0,27.0,,,,,,40.0,50.0,26.0,,24.0,,,,,,,5.0,5.0,5.0,5.0,1.0,,0.0,2.0,,0.0,,0.44,9.0,9.0,9.0,9.0,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkHashTableSinkOperator.java,2.0,6.0,10.0,4.0,7.0,10.0,1.0,4.5,8.0,0.0,1.0,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkHashTableSinkOperator.java,1.0,12.0,0.0,4.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkPartitionPruningSinkOperator.java,10.0,1.0,9.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,5.0,,,,5.0,5.0,4.0,,,,5.0,,,0.0,,0.0,1.0,4.0,,103.0,17.0,64.0,30.0,29.0,22.0,,,,,,41.0,50.0,28.0,,22.0,,,,,,,5.0,5.0,5.0,5.0,1.0,,0.0,2.0,,0.0,,0.34,9.0,9.0,9.0,9.0,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkPartitionPruningSinkOperator.java,2.0,7.0,12.0,4.0,7.5,11.0,1.0,3.5,6.0,0.0,1.0,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorSparkPartitionPruningSinkOperator.java,1.0,16.0,0.0,3.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorUtilBatchObjectPool.java,11.0,0.0,10.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,3.0,,,,5.0,5.0,4.0,,,,5.0,,,0.0,,0.0,0.0,5.0,,83.0,11.0,43.0,16.0,21.0,29.0,,,,,,22.0,30.0,15.0,,15.0,,,,,,,3.0,3.0,3.0,3.0,1.0,,0.0,2.0,,0.0,,0.67,6.0,6.0,6.0,6.0,3.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorUtilBatchObjectPool.java,1.0,3.75,7.0,0.0,2.25,4.0,0.0,1.25,3.0,0.0,0.75,2.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorUtilBatchObjectPool.java,1.0,3.0,0.0,1.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,22.0,1.0,19.0,2.0,5.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,19.0,7.0,95.0,,,,93.0,76.0,19.0,,,,95.0,,,5.0,,45.0,3.0,42.0,,2510.0,253.0,2009.0,555.0,1425.0,249.0,,,,,,1072.0,1460.0,528.0,,1128.0,,,,,,,23.0,23.0,40.0,40.0,16.0,,0.0,6.0,,0.0,,0.12,490.0,381.0,569.0,460.0,241.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,1.0,7.146067415730337,37.0,1.0,7.269662921348314,37.0,1.0,9.359550561797754,108.0,0.0,1.1685393258426966,6.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContext.java,4.0,227.0,1.0,2.0,37.0,399,120,16,0,16,8,8,15,15,75,5,8,8
0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContextRegion.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,,1.0,,,1.0,,0.0,0.0,0.0,,29.0,4.0,4.0,3.0,0.0,21.0,,,,,,2.0,3.0,3.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,5.25,0.0,0.0,0.0,0.0,0.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizationContextRegion.java,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedBatchUtil.java,32.0,1.0,28.0,4.0,6.0,4.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,19.0,1.0,19.0,,,,19.0,0.0,0.0,,,,19.0,,,1.0,,1.0,0.0,17.0,,709.0,36.0,586.0,188.0,393.0,87.0,,,,,,325.0,410.0,176.0,,275.0,,,,,,,38.0,23.0,38.0,23.0,11.0,,0.0,5.0,,0.0,,0.15,119.0,85.0,122.0,88.0,43.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedBatchUtil.java,2.0,11.421052631578949,47.0,1.0,6.894736842105263,30.0,1.0,6.842105263157895,37.0,0.0,1.4210526315789471,5.0,/home/nicolas-richard/Desktop/.Apache_Hive/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorizedBatchUtil.java,1.0,64.0,0.0,1.0,0.0,175,156,9,0,9,5,5,20,20,39,17,1,1
